Unnamed: 0,unidad,calle_unidad,nro_unidad,barrio_unidad,distrito,zona,manzana,parcela,Nomenclatu,Categoria_perfil,Descripcion_perfil,geometry,Estado,Tipo_Parce,_merge,gestor,tasa_interes_anual,plazo_meses,capital_original,fecha_inicio,fecha_vencimiento,dias_mora,score_riesgo,bucket_mora,estado_credito,saldo_capital,intereses_devengados,saldo_total,pagos_ultimo_mes,fecha_ultimo_pago
0,200300,COSENZA                                 ,1733,SAN NICOLAS                             ,1,4,5,9,1101010104005009,Perfil Adecuado,Perfil Adecuado. Con actividad. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4390740.88091794 6528266.37677219, 4390729.25595231 6528270.18926296, 4390732.44344471 6528280.37673272, 4390735.16218823 6528289.00170711, 4390737.50593264 6528296.43918504, 4390749.03714856 6528292.75169392, 4390740.88091794 6528266.37677219))",EDIFICADO NoPH,URBANO,both,Estudio A,120,36,296000,2023-10-13,2026-10-13,29,64,1-30 días,En mora,74600,7400,82000,8200,2026-03-15
1,201380,ICA                                     ,1579,TALLERES OESTE                          ,1,4,54,15,1101010104054015,Perfil Insuficiente,"Perfil Insuficiente. Sin actividad declarada. NSE sin determinar. Con mora vigente en el sistema financiero. Con mora en los últimos 6 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $16.000,00 y $16.500,00.","POLYGON ((4390100.41394815 6527786.31577712, 4390107.22642881 6527788.87826854, 4390111.88266341 6527777.31580151, 4390118.41389182 6527761.25334728, 4390110.47641436 6527758.25335733, 4390100.44519753 6527783.0657866, 4390100.41394815 6527786.31577712))",EDIFICADO NoPH,URBANO,both,Estudio D,72,12,416000,2023-11-08,2024-11-08,173,23,91-180 días,En mora,197200,67300,264500,0,2025-10-18
2,201456,LOCALINO                                ,1677,TALLERES OESTE                          ,1,4,58,2,1101010104058002,Perfil Adecuado,"Perfil Adecuado. Con actividad. NSE sin determinar. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $15.500,00 y $16.000,00.","POLYGON ((4389875.85208912 6527721.44100312, 4389872.88334896 6527728.94098173, 4389909.07074624 6527742.87843515, 4389911.91448676 6527735.37845656, 4389892.72704123 6527728.00348121, 4389875.85208912 6527721.44100312))",EDIFICADO NoPH,URBANO,both,Estudio C,84,36,212000,2022-09-12,2025-09-12,2,60,1-30 días,En mora,1200,100,1300,5900,2026-04-06
3,201456,LOCALINO                                ,1677,TALLERES OESTE                          ,1,4,58,2,1101010104058002,Perfil Nulo,Perfil Nulo. Persona fallecida. (Fuente: AFIP),"POLYGON ((4389875.85208912 6527721.44100312, 4389872.88334896 6527728.94098173, 4389909.07074624 6527742.87843515, 4389911.91448676 6527735.37845656, 4389892.72704123 6527728.00348121, 4389875.85208912 6527721.44100312))",EDIFICADO NoPH,URBANO,both,Estudio B,84,48,206000,2023-04-22,2027-04-22,129,14,91-180 días,En mora,126400,37500,163900,0,2025-12-10
4,201456,LOCALINO                                ,1677,TALLERES OESTE                          ,1,4,58,2,1101010104058002,Perfil Bueno,"Perfil Bueno. Con actividad. NSE C2. De cumplimiento normal con entidades financieras. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. Registra un compromiso mensual entre $5.000,00 y $5.500,00.","POLYGON ((4389875.85208912 6527721.44100312, 4389872.88334896 6527728.94098173, 4389909.07074624 6527742.87843515, 4389911.91448676 6527735.37845656, 4389892.72704123 6527728.00348121, 4389875.85208912 6527721.44100312))",EDIFICADO NoPH,URBANO,both,Estudio B,60,6,140000,2023-11-11,2024-05-11,24,61,1-30 días,En mora,9200,500,9700,23300,2026-03-13
5,201456,LOCALINO                                ,1677,TALLERES OESTE                          ,1,4,58,2,1101010104058002,Perfil Insuficiente,"Perfil Insuficiente. Con actividad. NSE C3. Con mora vigente en el sistema financiero. Con mora en los últimos 6 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $369.000,00 y $369.500,00.","POLYGON ((4389875.85208912 6527721.44100312, 4389872.88334896 6527728.94098173, 4389909.07074624 6527742.87843515, 4389911.91448676 6527735.37845656, 4389892.72704123 6527728.00348121, 4389875.85208912 6527721.44100312))",EDIFICADO NoPH,URBANO,both,Estudio D,60,6,476000,2022-03-12,2022-09-12,122,41,91-180 días,En gestión judicial,159100,31900,191000,0,2025-11-27
6,205271,CHACHAPOYAS                             ,1807,YOFRE NORTE                             ,1,7,54,13,1101010107054013,Perfil Con Límites,Perfil Con Límites. Sin actividad declarada. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4392236.09520212 6527483.25381524, 4392236.00145427 6527494.94128117, 4392243.47018262 6527495.00377979, 4392262.53262731 6527495.06627655, 4392262.62637523 6527483.81630934, 4392236.09520212 6527483.25381524))",EDIFICADO NoPH,URBANO,both,Estudio A,84,48,531000,2024-05-12,2028-05-12,70,43,61-90 días,En mora,380200,61200,441400,0,2026-02-07
7,205370,HEROES DE VILCAPUGIO                    ,1898,YOFRE NORTE                             ,1,7,58,1,1101010107058001,Perfil Nulo,Perfil Nulo. Persona fallecida. (Fuente: AFIP),"POLYGON ((4391908.93991507 6527568.50361913, 4391908.97116664 6527578.75358924, 4391935.25234042 6527578.94108446, 4391935.40858834 6527568.87861378, 4391908.93991507 6527568.50361913))",EDIFICADO NoPH,URBANO,both,Estudio C,60,24,426000,2024-02-24,2026-02-24,532,14,+180 días,En mora,340800,298000,638800,0,2024-10-22
8,205370,HEROES DE VILCAPUGIO                    ,1898,YOFRE NORTE                             ,1,7,58,1,1101010107058001,Perfil Insuficiente,"Perfil Insuficiente. Sin actividad declarada. NSE sin determinar. Con mora vigente en el sistema financiero. Con mora en los últimos 6 meses según BCRA. Sin información judicial relevada. Registra un compromiso mensual entre $88.000,00 y $88.500,00.","POLYGON ((4391908.93991507 6527568.50361913, 4391908.97116664 6527578.75358924, 4391935.25234042 6527578.94108446, 4391935.40858834 6527568.87861378, 4391908.93991507 6527568.50361913))",EDIFICADO NoPH,URBANO,both,Estudio A,60,24,712000,2022-03-04,2024-03-04,115,21,91-180 días,En gestión judicial,224300,42400,266700,0,2025-12-08
9,205370,HEROES DE VILCAPUGIO                    ,1898,YOFRE NORTE                             ,1,7,58,1,1101010107058001,Perfil Con Límites,Perfil Con Límites. Sin actividad declarada. NSE sin determinar. Sin registraciones de deuda vigente en BCRA. Sin atrasos en los últimos 24 meses con entidades financieras. Sin información judicial relevada. No registra compromiso mensual asumido.,"POLYGON ((4391908.93991507 6527568.50361913, 4391908.97116664 6527578.75358924, 4391935.25234042 6527578.94108446, 4391935.40858834 6527568.87861378, 4391908.93991507 6527568.50361913))",EDIFICADO NoPH,URBANO,both,Estudio A,84,18,385000,2022-03-12,2023-09-12,62,44,61-90 días,En mora,65400,9300,74700,0,2026-01-29
